"FIPS" "first.year" "long" "lat" "ba" "plant" "x" "y"
"2410" 44005 1993 -71.23031 41.56551 6.033337 6.89035 0.0793354759829016 -1.22909536697019
"2414" 44007 1986 -71.57468 41.87511 8.47389 6.24074 0.0745506149807869 -1.2239407591783
"2415" 44009 1986 -71.6234 41.48859 5.62601 6.55103 0.0743329659969585 -1.23076341233282
"2454" 45045 2005 -82.37103 34.89505 0 7.68274 -0.0711461657807762 -1.34727269846868
"2484" 47009 2002 -83.92278 35.68912 0 6.93354 -0.0921671498456086 -1.3319840750595
"2486" 47013 2006 -84.14501 36.39454 0.409325 6.48595 -0.094394558912668 -1.3193703919392
"2489" 47019 2002 -82.12679 36.29229 0.9 6.50321 -0.0664493466897752 -1.32287642083091
"2492" 47025 2007 -83.66852 36.48157 0.951149 6.44369 -0.0876771318200615 -1.31829705015144
"2494" 47029 2004 -83.11531 35.92462 0.105882 6.90051 -0.0805965423261544 -1.3285787765042
"2497" 47035 2010 -85.01003 35.94972 0.00746269 6.50934 -0.107028798286024 -1.32626748951055
"2508" 47057 2005 -83.49578 36.27458 1.61168 6.83799 -0.0855164020315411 -1.32209346191301
"2509" 47059 2004 -82.84627 36.17452 0 6.91958 -0.0765812945330253 -1.32440682186823
"2511" 47063 2006 -83.23646 36.22364 0 7 -0.0819643281245938 -1.32321757845283
"2512" 47065 2006 -85.17022 35.17822 1.44304 7.33083 -0.110379651656544 -1.33962551746406
"2513" 47067 2006 -83.21194 36.52175 0 6.53846 -0.0812995880410169 -1.31799642422931
"2516" 47073 2006 -82.93348 36.4416 0 6.87785 -0.0775205741905638 -1.31963871381111
"2524" 47089 2005 -83.43433 36.0562 0 6.99755 -0.0849074307158437 -1.32598772866709
"2525" 47091 2004 -81.84376 36.45816 0.147368 6.2701 -0.0623717511826823 -1.32014932181692
"2526" 47093 2004 -83.93799 35.99294 2.62188 6.99229 -0.0920100526890748 -1.32663083872604
"2532" 47105 2006 -84.31316 35.73473 0.268966 7 -0.0975785792809819 -1.33079314438576
"2533" 47107 2010 -84.61409 35.42637 0.265116 7.0018 -0.102205935138145 -1.33589203599857
"2541" 47123 2004 -84.25192 35.44607 0 6.93015 -0.0970895534447915 -1.33592582146814
"2544" 47129 2007 -84.64944 36.12646 0.0163934 6.5494 -0.101757599779973 -1.32355981791133
"2548" 47137 2011 -85.07157 36.56326 0 6.5 -0.107011100235424 -1.31542454800213
"2549" 47139 2006 -84.52627 35.11848 0.618812 7.15181 -0.101380064521988 -1.34139133791222
"2553" 47145 2007 -84.5127 35.85238 0.0492958 6.98376 -0.10021643733359 -1.32851906613496
"2556" 47151 2007 -84.49765 36.43053 2.129026 6.48593 -0.099241558489322 -1.31837877006875
"2558" 47155 2002 -83.52075 35.78996 0.528172 6.78243 -0.0864170059206238 -1.33058973329256
"2562" 47163 2004 -82.30097 36.51386 0 6.77049 -0.0686705933400061 -1.31885393945234
"2566" 47171 2004 -82.44138 36.10446 3.31579 6.48552 -0.0710045791280567 -1.32595348103687
"2567" 47173 2006 -83.83104 36.2836 0 6.76375 -0.090168642338108 -1.3216250412558
"2570" 47179 2004 -82.49766 36.29645 0.0833333 6.93455 -0.0716068682935345 -1.32253387512054
"2614" 51003 1991 -78.55683 38.02301 0 6.94441 -0.0163400771856867 -1.29394137679002
"2615" 51005 1991 -80.01005 37.77987 0.162921 6.50087 -0.0362414316343395 -1.29782392081463
"2617" 51009 1981 -79.14536 37.59929 0 6.92161 -0.0244926093696623 -1.30128201985559
"2618" 51011 1981 -78.812 37.36694 NA 7 -0.0199909952670558 -1.30545443938926
"2619" 51013 1993 -77.11358 38.87854 0 7.1338 0.00327117022517832 -1.27896256532971
"2620" 51015 1991 -79.13193 38.16069 0 6.38017 -0.0241239302475429 -1.29139266578648
"2621" 51017 1993 -79.74402 38.0571 0.0533981 6.28482 -0.0324859244679396 -1.29303569618633
"2622" 51019 1980 -79.52311 37.31764 0 6.98065 -0.0297774758709032 -1.30613696215052
"2623" 51021 1993 -81.1294 37.12787 0 6.21406 -0.0519793456911279 -1.30878896961396
"2624" 51023 1979 -79.81061 37.55287 0 6.9189 -0.0336212775125741 -1.30189656657828
"2626" 51027 2006 -82.03986 37.26129 0 6.47783 -0.0643983654120366 -1.30588254145832
"2627" 51029 2005 -78.52957 37.56512 NA 6.99868 -0.0160685424572796 -1.30201557751613
"2628" 51031 1981 -79.10233 37.21993 0.040625 7 -0.0240262567336507 -1.30797770848866
"2629" 51033 1977 -77.34893 38.03107 0 7.00795 0.000105370679196843 -1.29390248497837
"2630" 51035 1992 -80.72752 36.72457 0 6.44908 -0.0466968511155949 -1.31609957881702
"2633" 51041 1993 -77.5763 37.3888 NA 7.21806 -0.00301615050967705 -1.30521875042633
"2634" 51043 1993 -78.00738 39.11702 2.426959 6.57991 -0.0087275281610641 -1.27473444533839
"2635" 51045 1993 -80.21256 37.47021 0 6.54097 -0.0391705968106802 -1.3031989066488
"2636" 51047 2006 -77.95472 38.49027 NA 7 -0.00809074422353308 -1.28578387329187
"2638" 51051 2006 -82.35606 37.1195 0.0212766 6.41038 -0.0688739151296829 -1.30815642624538
"2640" 51057 1993 -76.95573 37.93628 NA 7.29843 0.00546534152623473 -1.29556161699117
"2641" 51059 1991 -77.28296 38.83589 0.147368 7.03606 0.000992471479182648 -1.27971796318153
"2642" 51061 2006 -77.80898 38.74023 0 6.95051 -0.0060981478065477 -1.28138963742075
"2643" 51063 1979 -80.36664 36.92845 0 6.37702 -0.0415855432375816 -1.31267651526656
"2644" 51065 1993 -78.27996 37.83463 1.04225 6.99933 -0.012602904668131 -1.2973034912033
"2645" 51067 1971 -79.88843 36.98942 0 6.97419 -0.0349517192402928 -1.31179508514946
"2646" 51069 1993 -78.27569 39.21279 0 6.49622 -0.0123097736220003 -1.27301727498108
"2647" 51071 1993 -80.70492 37.30873 0.109827 6.31127 -0.0460213191856915 -1.30582266464953
"2650" 51077 1993 -81.20599 36.65186 0 6.28198 -0.0533736383408694 -1.31712797264556
"2651" 51079 1991 -78.46733 38.29848 0 6.77195 -0.0150648659149753 -1.28910145661354
"2654" 51085 1977 -77.4869 37.76225 NA 7.0297 -0.001779414317132 -1.2986391679128
"2655" 51087 1951 -77.41621 37.54289 NA 7.2776 -0.00081595456790085 -1.30250626249259
